station_id,station_display_name,station_name,state,municipality,status,lat,lon,altitude_m,tipo_clima_didactico,color_clima,descripcion_corta,explicacion_clima,mensaje_para_ninos,temperatura_media_anual,temperatura_maxima_promedio,temperatura_minima_promedio,precipitacion_anual_promedio,year,month,month_name,date_month,precipitation_mm,tmax_c,tmin_c,tmean_c,days_expected,days_precip_observed,days_tmax_observed,days_tmin_observed,precip_source,tmax_source,tmin_source,data_status,demo_generated,source_file,note
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,1,Enero,2015-01-01,0.0,7.8,1.7,4.7,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,2,Febrero,2015-02-01,22.0,8.6,-1.3,3.6,28,28.0,28.0,28.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,3,Marzo,2015-03-01,122.9,10.0,-1.3,4.4,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,4,Abril,2015-04-01,0.0,11.7,1.5,6.6,30,30.0,30.0,30.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,5,Mayo,2015-05-01,240.4,11.2,1.0,6.1,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,6,Junio,2015-06-01,166.5,9.1,0.5,4.8,30,30.0,30.0,30.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,7,Julio,2015-07-01,148.8,9.0,0.7,4.9,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,8,Agosto,2015-08-01,233.5,9.2,1.1,5.2,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,9,Septiembre,2015-09-01,177.7,8.6,2.0,5.3,30,30.0,30.0,30.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,6.0,12.4,-0.5,1159.4,2015,10,Octubre,2015-10-01,88.9,9.3,-1.5,3.9,31,31.0,31.0,31.0,observado,observado,observado,observado,False,15062.txt,Dato mensual observado suficiente.
